# Smarandache numbers.
# Numbers formed by concatenation of positive integers in numerical order.
142 2.7.4523.14303.76079.2244048237264532856611.C282
143 3^2.859.C317
144 2^3.3^2.6361.6585181700551.81557411089043.165684233831183308123.P271
145 5.96151639.C326
146 2.3.13.83.720716898227.1122016187632880261.C296
147 3.59113.1833894252004152212837.1519080701040059055565669511153.C276
148 2^2.197.11927.17377.273131.623321.3417425341307.4614988413949.8817212782626223819399721069204897.P254
149 3.103.131.1399.C331
150 2.3.5^2.11.23.2315007810082921.92477662071402284092009799.C296
151 7.53.1801.3323.C335
152 2^4.3^2.131.10613.29354379044409991753.2587833772662908004979.4103096315830350734534473515557.12805089500421274253268517941967.17815076027044127272632744936161.P205
153 3^2.29.7237.6987053.8237263.389365981.C322
154 2.17.19.43.444802312089588077.855286987917657769927.32063206397901252963254536935569.C
155 3.5.665009999.223237752082537677918401.P323
156 2^2.3.7.3307.C354
157 11.53.492601.43169527.645865664923.125176035875938771.C318
158 2.3.17.29.53854663.164031369541076815133.C334
159 3.71.647.3175105177.1957802969152764074566129.11855111297257593607972759339201.45941358846148651407783221723920871719.C
160 2^3.5.37.130547.859933.21274133.122800249349203273846720291.64603936118676024484144135734907.C
161 3^4.59.491.81705851.P360
162 2.3^5.2999.393803780657062026421.22260247937572504750086047.C
163 2381.72549525869.666733067809.1550529016982764630292633.C330
164 2^2.3.1039418554780603268384723777072953.C
165 3.5.7.13.31.247007767.490242053931613.13183356310254866666237435750357.P328
166 2.89.55566524959746113370037.P365
167 3.3313.C389
168 2^7.3.532709.P387
169 2671.5233.C392
170 2.3^2.5.7.701.73406007054077.C382
171 3^2.1237.6017588157881558471.40202471819457246557501649563881337.C
172 2^2.11.13.37.C403
173 3.17.53.101.151.11633.228637.C394
174 2.3.59.277.2522957.2928995151034569627547.C381
175 5^2.2606426254567.C403
176 2^3.3.19.1051.1031835687651103571.1011379313630785579015894871.C
177 3.109.153277.6690569.32545700623.2984807754776597.C382
178 2.3144036216187.11409535046513339.P397
179 3^2.7.11.359.C423
180 2^2.3^2.5.43.89.7121.C422
181 31.197.70999.46096011552749697739.C406
182 2.3.123529391.C429
183 3.29.661.1723.3346484052265661.553245689211853052761209813199.C
184 2^4.7.59.191.1093.1223.22521973429.15219125459582087.158906425126963139.2513521443592870099.677008100402429325901609057.P342
185 3.5.94050577.4716042857821.3479131875325867.C409
186 2.3.1201.574850252802945786301.C425
187 349.506442073.1080829169904060835770214147747.P411
188 2^2.3^3.C454
189 3^3.47.1515169.1550882611.1687056803.348528133548561476953.C410
190 2.5.379.46645758388308293907739.P435
191 3.13.5233.164130096629.13806214882775315521.C429
192 2^3.3.29.41.C463
193 7.419.419908232491384495189.5167315927941164272437909427556797.C
194 2.3.11.31.491.34188439.28739332991401.8203347603076921.1507421050431503839.22805873052490568609.168560953170124281211.C373
195 3.5.397.21728563.300856949.554551531.8174619091.165897663095213559529993681.P412
196 2^2.17.73.79.3834513037.P464
197 3^2.37.6277.1368971104990459.C461
198 2.3^2.7^2.13.14158849264684185910199571953.C
199 151.C487
200 2^5.3.5^2.C488
201 3.11^2.23.38219.1913251.562577713.C
202 2.439.187027.728410499.11311405416319.C
203 3.521.P497
204 2^2.3.97.41669.494267.660589.23163017623.C
205 5.1161241.9514791051487.587488066365000538891.C
206 2.3^2.239.5011759.C
207 3^2.7.29.445141.36238700548945541.C
208 2^3.1099711.33791603.86053699.4998862453718791519.C
209 3.37.3677.33050921.191492122863645313.C
210 2.3.5.17.6781493.C
211 883.C
212 2^2.3.7.97130443.C
213 3.53.435577.15935947.C
214 2.61861.1856759.C
215 3^3.5.11847094728409.C
216 2^4.3^3.11^4.19.41.3841361687.C
217 13^2.937.16186578091320855499.C
218 2.3.29.41.83.2988412157.C
219 3.4636447688309.C
220 2^2.5.252509.47436629.C
221 3.7.2269.C
222 2.3.5783.358733.95475701.C
223 11.3457.188524541.379365391289.1455344121665461.C
224 2^3.3^2.13.41.59.211.15287.4427957.C
225 3^2.5^2.3572924969573639.38792722149835479303637.C
226 2.7.2269.20231149.6119311291.2495579415143.C
227 3.109.251.829.10253.520189307243.5122049531579.C
228 2^2.3.29.12301.356630404387.684443813353.C
229 19.179.401.19777653377.4290465326909.27941112706059402229.C
230 2.3.5.233.2791.11161.16073.212185243.C
231 3.C
232 2^6.179.967.34583.65466161.6444490905426789111467533.C
233 3^2.43.62081.136573127.2981164677499.C
234 2.3^2.37.53.173.1327.147671.193327.33458799277.61653709111780300943.C
235 5.7^2.105234461.C
236 2^2.3.17.55511.C
237 3.167.449.2389.1634089.34765879889664706339.C
238 2.11.C
239 3.18293575823.C
240 2^3.3.5.7.54528324647111071643.2679689587438242725249.C
241 521.605137381.6473440456768331.C
242 2.3^4.269.C
243 3^4.13.19.317.3221.77003.C
244 2^2.C
245 3.5.11.19.7687.C
246 2.3.37.877.C
247 31.1663.1100773.C
248 2^4.3.31.151189.C
249 3.7.331.21857314125509.2891046374272601.P606
250 2.5^3.13.57404459243.C
251 3^2.18187189.C
252 2^2.3^2.89.1123.416393807.28932909903300181.C
253 79.254437.313277303.8441192341.433558739301882553.1253923661120675833.C
254 2.3.7.773.59197271361545922953.1085761699192144969301.P608
255 3.5.281.523.13549132073375123.C
256 2^3.59.21517.C
257 3.103.1321.C
258 2.3.71.797.15973.376147.77582165737218991.104553157484636340928901.C
259 4861.21589.33254177298577.C
260 2^2.3^2.5.11.C
261 3^2.C
262 2.37339.104008938864355351.C
263 3.7.17.1471.C
264 2^5.3.104107.2644836433.95733658731871.7313920105711979.C
265 5.17.887.1787.P678
266 2.3.199.586237.416501517343.C
